comment_text,toxic,lang
"Deneme tahtasında da imza atmayı deneyebilirsin, imzasız mesajlar gerçekten birkaç saniye de olsa kullanıcının mesaj sayfasını bulmayı geciktiriyor... ",0,tr
"Bence Farecik in katkısı olumlu. Daha fazla eleştirmek yerine katkıda bulunmak daha yararlı olur. Düzeltilecek ve eklenecek bilgiler olduğu belli. Kendisine kullanıcı mesajı olarak da görüşlerimi iletmiştim. Bence yapıcı olmak gerek. Kendisi de eleştirileri kabul ediyor zaten. Bu arada, yazdıklarınızın sonuna yanyana dört kez ~ işaretini koyarsanız iyi olur, imzanız yerine geçer, yani adınız ve katkı zamanınız otomatik olarak görünür. Yoksa, tartışma bölümünde kimin ne yazdığı belli olmuyor. Saygılar. (Bucalı )",0,tr
"Başka maddelerde de  birleştirme  üzerine günlerdir süren tartışmalar var ve hiç kimse maddeleri birleştirmek için acele etmiyor. İsterseniz siz de, birleştir şablonu koyduğunuz maddeler üzerinde diğer kullanıcıların da fikir belirtmeleri için biraz süre tanıyın. Teşekkürler. M. M. ",0,tr
"Ya bir yahudi yazmış herhalde bunları, yok çok süpermiş mühendislik harikasıymış.Ucuz olmasa kimsenin takmayacağı bir makineli tabanca işte.hahaha lan yahudiler siz yok musunuz kroluğun bu kadarı hala gülüyorum lan ahahahahaha:DD)))",1,tr
"   Hoş Geldin !    Merhaba, tamamen gönüllü katılımcıların çabalarıyla 250 dilde oluşturulmaya çalışılan ansiklopedinin Türkçe bölümü    Vikipedi    ye hoş geldin! Bu ansiklopedi beş ana madde üzerinde şekillenir, katkıda bulunmadan önce okumanızda yarar vardır. Katkıda bulunmaktan lütfen çekinmeyin. Vikipedi nin yazım kuralları basittir. Ne şekilde madde yazabileceğiniz biçem el kitabında ayrıntılı olarak açıklanıyor. Herhangi bir sorun olursa, yardım sayfalarına bakabilirsin. Diğer kullanıcılardan yardım istemekten çekinmeyin; yeni bir katılımcıya yardım etmekten mutluluk duyacaklardır. Tartışma ve kullanıcı mesaj sayfalarındaki yazılarınıza,   ansiklopedi maddeleri hariç  , lütfen imza atmayı   (   ~~~~   )   ihmal etmeyin. İletişim için Köy çeşmesiOrtak çalışma alanı Topluluk portalıTelif hakkı kaybolmuş bir eseri eklemek istiyorsanız VikiKaynakBir terimin sözlük açıklamasını yapmak istiyorsanız VikiSözlükBir şeyin nasıl yapıldığını tarif etmek istiyorsanız VikiKitapÖzlü sözleri eklemek istiyorsanız VikiSöz En çok sorulan...Burada Bulmak istediğim konuya nasıl erişirim? Gezinti Bir madde için ekleme yapacağım ama telif hakları sorunu ne olacak? Kaynaklar Madde hakkında nasıl tartışırım? Tartışma sayfasını kullanın Bir madde için yapıcı eleştiri nasıl yapılır? Tavsiye Bir kullanıcı ile sorunum var. Ne yapmalıyım? Nezaket   (saldırı yasaktır)   ve Sorun çözümü Kolay gelsin... Drlp ",0,tr
türkiyedeki sömürge faşizmi olan kafatasçılık gibi tek kaş ideolojisidirr artık bu:) kafatası ölçümü sadece türklerde vardır.zavallılar tipler öyle çirkin ki aryan tezine karşı bunu öne sürüyorlar:),1,tr
 Ek olarak: TSİ 19:46:34 itibariyle meydana gelen artçı şok sayısı 676 dır. Müsait bir yetkili değiştirebilirse çok makbule geçer. Utku TanrıvereMesaj ,0,tr
"Peki ben de size en basitinden şunu sorayım o zaman. Sizce kaç kişi vektör, matris gibi terimleri ilk defa Vikipedi den okuyarak öğrenirken kaç kişi okullarda, dersanelerde bu kelimelerle ilk kez karşılaşıyordur? Sizce matematik dersi veren öğretmenlerden sizin kullandığınız kelimelerle ders anlatanların, Türkçeleştirilmemiş kelimelerle anlatanlara göre oranı nedir? Ayrıca şunu da belirtmeliyim, tdk yı açıp bakarsanız dizey kelimesinin karşılığında matris yazarken, matris kelimesinin de sözlükte yer aldığını görürsünüz. Yanisi, iki kelime de Türkçe sözlükte yer alır ve kullanılabilir durumdadır. Bu durumda Vikipedi de kullanılması gereken kelime seçilirken yaygın kullanıma bakılmalıdır. Söylemek istediğim bu. Kaldı ki kişisel görüşüm diye özellikle belirttiğim bir noktayı genel kabul haline getirmeye çalıştığımı nereden çıkardınız bilemiyorum. Ben sizin değişikliklerinizi geri alırken bu tartışma sayfasını gördüm ve geri alma işlemlerini o andan itibaren tartışma sonuçlanıncaya kadar bıraktım. Bence yaygın kullanım kalmalıdır ve bu durumda -söylediğiniz gibi- Türkçenin kurallarına hiçbir aykırılık yoktur. Bilimsel yöntem içinse söylediğinize katılmamakla birlikte, kendinizi doğrular bir kaynak gösterirseniz memnuniyetle okurum.–   h.çağrı      mesaj   ",0,tr
"Ben de sizinle aynı şekilde düşünüyorum, ancak konunun telif hakkı olduğu sitede belirtiliyor. Konu oradan alınmış yani, bu bariz. Ama kaynağı belirtmesi yerinde olmuş. Yine de kaynak olarak yararlanılan yerlerin  cite  ile belirtilmesi de başka bir çözüm olabilir. Ben biraz yeniyim, yalnız telif ihlali koymamın tek sebebi önceden de söylediğim gibi sitede yer alan  Copyright  ibaresi. İyi çalışmalar.    askinaltun    ",0,tr
Arnavutlar maddesinde yoğun geri dönüş yapmanız nedeniyle 24 saat engellendiniz. Geri döndüğünüzde lütfen bu tutumunuzu tekrarlamayınız. Teşekkürler. Metal Militia ,0,tr
" 50x50px|left   Vikipedi    ye hoş geldiniz. Herkesi ansiklopedimizin gelişmesine katkıda bulunmaya davet ediyoruz. Katkıda bulunma hakkında daha fazla bilgi almak için hoş geldiniz sayfasına göz atabilirsiniz. Bununla birlikte, gelişmeye katkıda bulunmayan, sayfa boşaltma, hakaret vb. değişiklikler    vandalizm    olarak tanımlanır ve eğer bu tavrınızı sürdürürseniz daha fazla uyarılmadan    engellenebilirsiniz   . Lütfen, diğerlerinin emeklerine zarar vermek yerine ansiklopedimizin gelişmesine yardımcı olun. Teşekkürler. i.e.msj ",0,tr
"Elbette Kürtlerin bir kolu bunlar. Birde geçip yok Kürtler kafkas ırkındanmış, yok İranlılar dravidmiş. Ne saçmalıyorsunuz yahu, hepsi Aryan bunların. Kafkas ırkı diye bir şey yok. Hint-Avrupa dillerini konuşan Pers kökenli uluslar.219.223.252.150  219.223.252.150 ",1,tr
"Sayın Khadkhall, hızlı cevabınız için içtenlikle teşekkür ederim. Söz konusu referanslar kalıcı referanslar olduğu için o şekilde yapılmıştı. İnternet referansları, site kapatıldığı zaman erişilemez oluyor ve referansın kendisi de ortadan kalkmış oluyor. O nedenle gerçek referans kalıcı referanstır ve zaten bu referansı çok iyi bileceğiniz gibi Google da arattığınız an, eğer site kapalı değilse otomatik olarak ulaşılabilir oluyor. Bu nedenle gerçek referanslar kullanılmıştır. Eğer bu gerekçeyi uygun bulursanır sanırım sizin geri almanız daha uygun olur. Selamlarımla. Anabasis1944 (mesaj) ",0,tr
"40px|alt=|link=Değişiklik yaptığınız bir sayfa (ORSAM) Vikipedi:Silinmeye aday sayfalar/ORSAM sayfasında silinmeye aday gösterildi. Bir fikir birliği oluşana dek tartışma sayfası açık kalacaktır. Tartışmaya herkesin katılımını bekliyoruz. Maddede düzenlemeler yapabilirsiniz, ancak sayfanın üst kısmındaki silinmeye adaylık etiketini çıkarmayın. Teşekkürler.Ahmet Turhan (mesaj) ",0,tr
Ikariam amblem (logo).png lisans sorunu 64px|left|Dosya telif problemi    Ikariam amblem (logo).png    adlı dosyayı yüklediğiniz için teşekkürler. Ancak dosyanın tanım sayfasında telif statüsü hakkında yeterli bilgi bulunmamaktadır. Vikipedi telif haklarını çok ciddiye alır.     Lisans  ve  kaynak  bilgisi eksik olan dosyalar hızlı silme kriterleri gereğince işaretlendikten 7 gün sonra silinirler.    Eğer dosyanın lisansını biliyorsanız    telif etiketini ekleyiniz   . Yüklediğiniz diğer dosyaları kontrol etmek için bu bağlantıyı tıklayınız. Sorularınız için Vikipedi:Medya telif soruları sayfasını kullanabilirsiniz. Teşekkürler. Reality ,0,tr
"Sayın Takabeg, tekrar söylüyorum, sanırım anlamıyorsunuz. Ben tanımadığım için değil bir internet taraması yaptıktan sonra bu kayda değerlik sorgusunu maddeye ekledim. Amacım maddenin geliştirilmesine yöneliktir. Ancak hala sizin bana gösterdiğiniz internet sayfasındaki devlet yayın organı ile burada bahsi geçen yayın organının ilişkisini anlayabilmiş değilim. Eğer bahsi geçen sadece orada sözü edilen durum ise bunu kaynak olarak maddeye ekeleyiniz. Ancak ben o gösterdiğiniz kaynağın güvenilir olduğunu düşünmüyorum. Ayrıca orada sözediliyor diye bu derginin ansiklopedik olduğunu da düşünmemekteyim. Bu konuda yeterince zman harcadım. Sırf siz istiyorsunuz diye daha çok zaman harcayamam. Maddeye gerekli kaynakları vererek etiketi kaldırabilirsiniz. Ancak unutmayın ki kaynakların vikipedi güvenilir kaynaklar çerçevesinde geçerli olması gerekmektedir. Saygılarımla, Manco Capac ",0,tr
"Kullanıcı    homofibiktir    ve Vikipedi de LGBTlilere yönelik nefrete dayalı değişiklikleri var, topluluğu   LGBT Vikipedistleri ni alakadar edip taraf oluşturma çapası içinde   diyince,   2 gün engel   şahsıma   üslubun ağır   ithamıyla hediye ediliyorsa, şahsın şuradaki eylemine verilen cevabın nasıl yine aynı şahıs tarafından topluluktan gizlediği apaçık ortadayken hala şahsımla bir problemi olup olmadığı sorgulanacak mı acaba Kibele? - Lubunya  selam lubunya, bir alt kategori (Birleşik Krallık LGBT dergileri) sayfada olduğu için genel kategorinin çıkartılması gerekiyor, yapılan o.. bu durumda, böyle bir uyarı yollaman pek tecrübeli kullanıcı iletişimine uygun bir davranış değil. ama esas önemli olan şu ki, kötü iletişim iki tarafı da bağlayan bir konudur. ortada bir sıkıntı varsa ve çözülemiyorsa uzak durmakta yarar var, sana tavsiyem budur. bir de kişileri sürekli olarak  homofobik  benzeri biçimlerde suçlamayı kesmeni rica ediyorum. eğer buna yönelik uygunsuz değişiklikler varsa elbette dikkat çekebilirsin ama itham ederek değil. kolay gelsin.    kibele     Pekala. - Lubunya ",1,tr
"Türkiye Sayfasının YÖNETİM BİÇİMİ başlıklı bölümünde,  Dİ  li geçmiş zaman kullanılması daha uygun olur. Kağıt üzerinde halen bu şekilde ifade ediliyor olmakla birlikte; son yıllarda hiç bir objektif siyaset bilimci, uyulamanın da böyle olduğu kanısında değildir. Siyaset bir inanç değil, bilimdir. 30.11.2010 SBF1975",0,tr
"Selamlar, şuradaki resmi commons a yüklemenin bir yolunu bulamaz mıyız? Özgür lisans ile paylaşmamız flickr da. Normalde flickr lisansı ile Özgür lisans ile işaretlenen fotoğrafları yüklüyoruz commonsa.Sait71yaz  Vallahi imkansız. Görüntünün haklarında    All rights reserved    yazıyor. Burada Flickr daki görüntülerden yalnızca CC-BY, CC-BY-SA ve kamu malı olanları yükleyebileceğimiz yazıyor. Arda nın pek çok görüntüsü var ama sanırım bu görüntü önemli bir maçtan değil mi?i.e.msj ",0,tr
"Ohooo tüm yabancı araştırmaları dikkate alırsak, bunları düşünürsek ben Türkiye nin bile bir Türk devleti olduğundan şüphe ederim, hatta acaba Avustralyalı mıyım diye şüpheye düşerim O zaman Türkler Ermeni-Pontus-Süryani soykırımcısıdır, Kıbrıs işgalcisidir, Araplar gibidir, Kürt özgürlük hakkına en büyük karışandır önermeleri doğruluk kazanır... Sonuç olarak sadece kendi kaynaklarımıza bakmamalıyız tamam ama yabancı kaynakların da hepsinin doğru olduğunu söyleyemeyiz... ",0,tr
