comment_text,toxic,lang
 http://www.atptennis.com/3/en/players/playerprofiles/?playernumber=N409 http://membrilla.com/clubdetenis/contenidos/index.php?option=com_content&task=view&id=115&Itemid=74 http://newstec.sportec.es/noticias.asp?deporte=tenis&fichero=2003/06/20030627_1&p=1&t=1 http://newstec.sportec.es/noticias.asp?deporte=tenis&fichero=2004/09/20040901_1&p=1&t=1 http://newstec.sportec.es/noticias.asp?deporte=tenis&fichero=2004/09/20040903_2&p=1&t=1 http://newstec.sportec.es/noticias.asp?deporte=tenis&fichero=2004/09/20040909_1&p=1&t=1 http://www.infobae.com/notas/nota.php?Idx=257364&IdxSeccion=100712 http://www.lavanguardia.es/premium/publica/publica?COMPID=51275690566&ID_PAGINA=22088&ID_FORMATO=9&turbourl=false http://espanol.sports.yahoo.com/28062007/52/deportes-federer-nadal-alcanzan-problemas-tercera-ronda-wimbledon.html http://www.lavanguardia.es/premium/publica/publica?COMPID=53390797783&ID_PAGINA=22088&ID_FORMATO=9&turbourl=false http://newstec.sportec.es/noticias.asp?deporte=tenis&fichero=2004/09/20040910_2&p=1&t=1 http://www.lavanguardia.es/lv24h/20080626/53490118017.html http://www.adn.es/deportes/20090912/NWS-1051-Gonzalez-Nadal-Potro-Rafa-puesto.html ,0,es
"Sé esto. Pero creo recordar que el wikipedista en cuestión tampoco era trigo limpio. Por cierto, ¿por qué soy el puto amo? ",1,es
"Hola, Hhmb: Según la última edición de la   Ortografía de la lengua española  , en el apartado 2.2.2.3, se indica las secuencias de dos vocales iguales constituyen hiato. Por lo tanto, «wayuu» es una palabra de tres sílabas, con acento en la sílaba «yu», lo que la convierte en una palabra llana terminada en vocal y no debe tildarse. WM-",0,es
"Se debe de agregar a sus datos personales que el  Hombre  es decididamente gay ya que su defensa mas fuerte, es sin duda alguna el toqueteo homosexual a los genitales de los atacantes,que ha tenido que marcar, ya sea argentinos o uruguayos (claramente nacionalidades de su preferencia), ya que no se ha sentido atraido por contrarios de otra nacionalidad. Claramente no tiene ningùn respeto al Fair Play, ni por sus contrincantes",0,es
Ortografía Sí Sin incidentes. Gramática Sí Sin incidentes notorios. Desambiguaciones Sí sí Traducción Sí sí Veredicto Aprobado Puntaje Válido por 3 puntos.   Nota: Revisión hecha por    AlvaroMolina     .Firmado: ,0,es
"Lo que tu indicas es  reserva legal  (ej. regulaciones que afecten derechos fundamentales, establecmiento de tributos, etc.) Principio de legalidad (o  de juridicidad ) es el que rige a los órganos del Estado y, en general, es base del derecho público (entendido como   sólo se puede hacer lo que la ley permite  )... Saludos, ",0,es
"¿Sunny tenía hipoglucemia y le prescribieron cuidarse del azúcar? ¡la mataron los médicos! Estos yankis son peligrosísimos en esto de la Justicia institucional. Desde los juicios de Salem hasta aquí, un espanto. Habría que sacárselos para que no sigan horrorizando al mundo y aterrorizando a la gente.",0,es
como dicen otros este articulo no tiene ninguna neutralidad ademas la primera oracion es una burla a las demas religiones cristianas hasta donde se el pentecostalismo no tiene ningun origen biblico mas bien creen en un conjunto de doctrinas dispersas y no poseen una organizacion y coexion dividiendose en muchos grupos sectarios y movimientos especuladores,0,es
creo que desde los años sesenta que un señor de oficio pescatero compro lo que pudo del castillo de granera a ido de mal en peor que lastima que las pocas casas de este maravilloso pueblecito en el que mi familia lo beneficio tanto las tierras inmensas de su propiedad mal vendidas al igual que lacasa grand pegada a la de nuestros masoveros toda la calle del castell exceptuando 4 casas denuestros amigos la gne maravillosa de l pueblo alli pasaron la gerra española toda la familia mas de 15 personasn,0,es
"Hola, Diego. Te pregunto, y sólo por curiosidad, por qué hacés el pedido de referencias en el artículo KGBestia. Coincido que le falta un buen repaso y ampliarlo (sólo habla de la saga donde el personaje apareció por primera vez), pero más referencia que el número de los cómics puntuales en donde ocurre cada cosa no creo que pueda conseguirse. Saludos, ",0,es
