comment_text,toxic,lang
Devi continuare ancora per molto a trollare? Ti fermi da solo?      Dome        A disposizione!    ,1,it
"Ciao Senpai! Temo di aver fatto una cazzata. Negli ultimi giorni ho caricato su Commons alcune mie foto di antichi palazzi, chiese e statue di Modena. Pensavo fossero in PD, poi pensando alla legislazione sulla protezione dei beni culturali mi è venuto il dubbio (e infatti il percorso guidato ha confermato le mie paure). Che devo fare ora? Cancellarle da Commons? O magari caricare un sostituto a bassa risoluzione per it.wiki e lasciare gli originali su Commons? Grazie.    .[d]oppia.[d]i.    ",0,it
"Sei una coccia di cazzo Sbazzone, finirai presto dentro una bara maledetto figlio di puttana, io ti ficco un pugnale tra i coglioni e ti faccio urlare come un cane maledetto, stronzo comunista!giudeo!Giandomenico Fracchia (msg) ",1,it
"Non so se sia pertinente , ma a me risulta che i TDG dissociano cioè buttano fuori gli omosessuali come immorali se compiono l atto sessuale. Anche gli adulteri e atteggiamenti amorosi non fra sposati sono sanzionati. Sul fratello Morris è bene sapere che è l equivalente di un cardinale cattolico o più, inoltre nn è stato smentito dai vertici TDG. Il video del discorso tenuto in Italia è fonte attendibile e vista l autorità della persona in questione è senza dubbio sintomo di una certa avversione verso gli omosessuali. Non cadete nella solita doppiezza dei TDG, che si sentono autorizzati a non essere sinceri con quelli al di fuori della loro religione in nome di una cosidetta guerra teocratica. Insomma cercano di sembrare aperti come sul discorso evoluzione o creazione arrivando a contestare i creazionisti per poi esserlo loro alla fineNeunova (msg) ",0,it
"no un attimo, adesso le associazioni gay, come l arcigay, sono attendibili?! Non so, vuoi citare i preti nella pagina dedicata a Dio per dimostrarne l esistenza? (scusate il sarcasmo) LOL 151.45.155.",0,it
"Scusate, ma non trovate che sia diffamatorio indicare Benedetto XVI come il papa che distruggerà la chiesa e roma e porterà l apocalisse? Sinceramente mi pare davvero una stupidata millenaristica, atta a diffamare. Proporrei di togliere tale passo, se non sostenuto da fonti significative. AndreaFox (msg) ",0,it
"Brava! Adesso l articolo è molto più equilibrato, e si capisce di cosa parla. Mi sembra che stai facendo un buon lavoro!!!! don Paolo - dimmi che te ne pare 17:51, Gen 25, 2005 (UTC)",0,it
"Per quanto riguarda questa correzione che ho fatto, ti ricordo che il template ha un campo apposito se la città si presta a omonimia: quindi per esempio devi scrivere nel campo città  Mosca  e nel campo CittaLink  Mosca (Russia) .    Sergio † BC™ (Kитеммуорть!)    ",0,it
"Peccato che non sia né un vocabolo né una informazione, ma solo una sciocca insulsaggine falsamente discriminatoria che squalifica semplicemente chi la pensa e la pronuncia. È anche grazie a questo genere di termini che il nostro paese è talvolta più preparato nel guardarsi indietro che nel guardare avanti. Finché penseremo che in Italia ci siano italiani   terroni   e italiani   polentoni  , e saremo fieri di una regione che non esiste e forti di un regno sepolto dal tempo, non credo che potremo considerarci un paese evoluto. Ed anche quando si volesse considerare ed esaminare il termine   terroni   come un   fatto di costume  , penso che si sarebbe davanti piuttosto ad un fatto di   malcostume  : roba da   scostumati   ... più nudi di adamo, più ridicoli dell ultimo clown. - Twice25 /    αω - -)    (CEST)",0,it
"Già. Peccato che Gardner non sia mai stato professore di ruolo, non avesse alcuna autorità scientifica, che la PAS non sia riconosciuta e che in due occasioni in cui è stata sottoposta allo standard Frye non è stata ammessa come prova in tribunale, e una terza volta non si è presentato lui. Insomma una ridda di fesserie pseudo-scientifiche. Quindi le pubblicazioni che citi NON HANNO ALCUN VALORE    SERGIO    aka    the Black Cat    ",1,it
"Ciao, , discendente della persona in questione, mi ha chiesto aiuto per sistemare la pagina. non mi è chiaro perché esattamente tu abbia revertato Bibliografia ad Opere... ma tant è D Sto cercando sistemare, vediamo che ne esce EdoM (Parliamone)",0,it
"La comunita  si era gia  espressa in modo direi inequivocabile ) Favorevoli: 8 - Contrari: 17), attualmente la Balti e  probabilmente la piu  famosa modella italiana in ambito internazionale. Aggiungo che sicneramente queste corciate iniziano a sembrarmi decisamente infantili... ",0,it
ho letto kuello ke ai fatto sei proprio una testa di cazzo a me mi bloccano subio xke faccio una voce seria e non mi kiedono spiegazzioni a te ti fanno fare kuello ke vuoi e poi forse ti blokkano ma vai a fare in kulo idiota,1,it
"Vedo che continui a girarci intorno: hai fatto una roba gravissima e non te ne rendi conto, ho fra l altro il sospetto che tu stia prendendo testi da encarta (che è illegale) e continui a giocare e mentire. Confermo che appena c ho tempo devo evidentemente fra una chiaccherata coi tuoi. Vito (msg) ",1,it
